The Things We Do for Love,10CC,THINGS WE DO FOR LOVE,10CC,/media/larry/data/music/tabs/The Things We Do For Love.pdf,2018-09-22 20:01:46
Hold On Loosely,38 Special,HOLD ON LOOSELY,38 SPECIAL,/media/larry/data/music/tabs/Hold On Loosely.pdf,2018-09-22 20:01:38
Knowing Me Knowing You,ABBA,KNOWING ME KNOWING YOU,ABBA,/media/larry/data/music/tabs/Knowing Me Knowing You.pdf,2018-09-22 20:01:42
Set Fire to the Rain,Adele,SET FIRE TO THE RAIN,ADELE,/media/larry/data/music/tabs/Set Fire to the Rain.pdf,2018-09-22 20:01:45
Dream On,Aerosmith,DREAM ON,AEROSMITH,/media/larry/data/music/tabs/Dream On.pdf,2018-09-22 20:01:36
Blue Sky,The Allman Brothers,BLUE SKY,ALLMAN BROTHERS,/media/larry/data/music/tabs/Blue Sky.pdf,2018-09-22 20:01:34
Jessica,The Allman Brothers,JESSICA,ALLMAN BROTHERS,/media/larry/data/music/tabs/Jessica.pdf,2018-09-22 20:01:41
Melissa,The Allman Brothers,MELISSA,ALLMAN BROTHERS,/media/larry/data/music/tabs/Melissa.pdf,2018-09-22 20:01:43
Forever Young (Alphaville),Alphaville,FOREVER YOUNG _ALPHAVILLE_,ALPHAVILLE,/media/larry/data/music/tabs/Forever Young _Alphaville_.pdf,2018-09-22 20:01:37
A Horse With No Name,America,A HORSE WITH NO NAME,AMERICA,/media/larry/data/music/tabs/A Horse With No Name.pdf,2018-09-22 20:01:33
I Need You,America,I NEED YOU,AMERICA,/media/larry/data/music/tabs/I Need You.pdf,2018-09-22 20:01:39
Lonely People,America,LONELY PEOPLE,AMERICA,/media/larry/data/music/tabs/Lonely People.pdf,2018-07-29 20:07:49
Muskrat Love,America,MUSKRAT LOVE,AMERICA,/media/larry/data/music/tabs/Muskrat Love.pdf,2017-07-08 08:09:11
Sandman,America,SANDMAN,AMERICA,/media/larry/data/music/tabs/Sandman.pdf,2014-07-01 16:00:54
Sister Golden Hair,America,SISTER GOLDEN HAIR,AMERICA,/media/larry/data/music/tabs/Sister Golden Hair.pdf,2014-07-06 14:31:52
Tin Man,America,TIN MAN,AMERICA,/media/larry/data/music/tabs/Tin Man.pdf,2018-09-15 22:49:20
Ventura Highway,America,VENTURA HIGHWAY,AMERICA,/media/larry/data/music/tabs/Ventura Highway.pdf,2017-07-15 15:17:08
Sugar Sugar,Andy Kim,SUGAR SUGAR,ANDY KIM,/media/larry/data/music/tabs/Sugar Sugar.pdf,2018-08-04 21:25:22
Everything's Archie,The Archies,EVERYTHING'S ARCHIE,ARCHIES,/media/larry/data/music/tabs/Everything's Archie.pdf,
Sugar Sugar,The Archies,SUGAR SUGAR,ARCHIES,/media/larry/data/music/tabs/Sugar Sugar.pdf,2018-08-04 21:25:22
City Of New Orleans,Arlo Guthrie,CITY OF NEW ORLEANS,ARLO GUTHRIE,/media/larry/data/music/tabs/City of New Orleans.pdf,
Heat of the Moment,Asia,HEAT OF THE MOMENT,ASIA,/media/larry/data/music/tabs/Heat of the Moment.pdf,2018-05-12 21:11:26
Roam,The B52s,ROAM,B52S,/media/larry/data/music/tabs/Roam.pdf,2018-04-08 19:20:03
Come And Get It,Badfinger,COME AND GET IT,BADFINGER,/media/larry/data/music/tabs/Come and Get It.pdf,2018-04-08 19:31:47
Day After Day,Badfinger,DAY AFTER DAY,BADFINGER,/media/larry/data/music/tabs/Day After Day.pdf,2018-04-08 19:33:14
No Matter What,Badfinger,NO MATTER WHAT,BADFINGER,/media/larry/data/music/tabs/No Matter What.pdf,2018-09-21 21:01:39
The Weight,The Band,WEIGHT,BAND,/media/larry/data/music/tabs/The Weight.pdf,2018-05-21 09:31:40
Eternal Flame,The Bangles,ETERNAL FLAME,BANGLES,/media/larry/data/music/tabs/Eternal Flame.pdf,2018-07-29 20:09:33
If I Had a Million Dollars,Barenaked Ladies,IF I HAD A MILLION DOLLARS,BARENAKED LADIES,/media/larry/data/music/tabs/If I Had a Million Dollars.pdf,2014-07-15 23:46:01
Something to Live For,Barney Bentall,SOMETHING TO LIVE FOR,BARNEY BENTALL,/media/larry/data/music/tabs/Something to Live For.pdf,2018-07-02 15:51:24
Copacabana,Barry Manilow,COPACABANA,BARRY MANILOW,/media/larry/data/music/tabs/Copacabana.pdf,2018-12-01 09:09:34
The Eve Of Destruction,Barry McGuire,EVE OF DESTRUCTION,BARRY MCGUIRE,/media/larry/data/music/tabs/The Eve of Destruction.pdf,
California Girls,The Beach Boys,CALIFORNIA GIRLS,BEACH BOYS,/media/larry/data/music/tabs/California Girls.pdf,
A Hard Days Night,The Beatles,A HARD DAYS NIGHT,BEATLES,/media/larry/data/music/tabs/A Hard Days Night.pdf,2019-02-04 19:39:21
All My Loving,The Beatles,ALL MY LOVING,BEATLES,/media/larry/data/music/tabs/All My Loving.pdf,2018-12-25 22:03:36
And I Love Her,The Beatles,AND I LOVE HER,BEATLES,/media/larry/data/music/tabs/And I Love Her.pdf,2018-09-21 21:15:14
